filename,split,region,noise_ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
duesseldorf_55.tif,train,duesseldorf,0.3274,-0.5244,-1.1904,2.1889,0.8707,0.8500,0.7679,-1.4579,0.9100,-0.5601,-0.8994
kagera_57.tif,train,kagera,0.3316,-3.5252,-2.4753,0.8118,-0.1152,-2.2625,0.5550,-2.1923,0.0268,-0.8842,-0.9981
bielefeld_43.tif,train,bielefeld,0.3291,-0.4370,-1.8254,-1.3684,1.1103,-1.1675,0.7375,-0.1930,0.0835,-0.5424,-0.4531
paris_11.tif,train,paris,0.4466,1.9795,0.6102,-0.4980,1.8276,-1.2101,-0.5740,-2.4325,-0.5724,-0.4629,-0.7926
mahe_12.tif,train,mahe,0.3279,0.1522,3.6439,-3.1979,-3.5823,4.6918,-1.8435,0.9557,0.8776,0.0210,-1.6078
chisinau_56.tif,train,chisinau,0.1941,3.8173,-1.6138,-0.0633,-1.6996,-0.9590,0.3273,0.2442,-0.1785,0.2786,-0.1208
ulaanbaatar_43.tif,train,ulaanbaatar,0.4578,1.4479,3.7396,-0.4808,2.5802,1.4365,0.7252,1.4140,1.5883,-1.4536,-2.4326
lodzkie_17.tif,train,lodzkie,0.2820,-1.9296,-0.0365,5.2742,0.9989,1.7859,-0.4940,-1.4994,0.2950,1.5319,-2.3293
kagera_30.tif,train,kagera,0.3861,-1.9641,-1.6025,0.4405,1.1281,-0.2427,1.1876,-0.2682,2.4382,0.0875,0.6750
zachodniopomorskie_8.tif,train,zachodniopomorskie,0.0865,-5.0749,0.9493,-4.7254,-6.9966,-1.0830,-3.5990,-1.4656,0.7737,3.3904,-0.1508
slaskie_36.tif,train,slaskie,0.1182,-3.7038,-2.6172,-4.5239,2.7593,2.5092,-0.1133,-0.8768,0.7511,1.6429,-0.2706
santiago_41.tif,train,santiago,0.3409,4.2844,1.8368,0.7466,0.5911,-1.3504,-1.2936,-3.5011,0.0027,0.2899,-0.4500
lubuskie_5.tif,train,lubuskie,0.2205,-4.1662,-2.3911,-2.7386,1.3645,-3.6325,-0.0048,-0.4095,-0.0521,0.8168,-0.2296
vienna_70.tif,train,vienna,0.2630,2.3881,-1.9295,-1.0820,-0.4672,-1.6514,-0.0833,-0.2490,-1.1067,0.1807,0.0159
tokyo_49.tif,train,tokyo,0.3134,1.4838,0.5725,2.6314,-0.2311,0.6322,-0.6546,1.1696,0.0325,0.7393,1.7702
sechura_32.tif,train,sechura,0.4300,3.2491,2.2281,-0.8037,-2.0518,1.1686,0.4229,-1.8254,1.2778,-1.6444,-0.3849
kyoto_63.tif,train,kyoto,0.4087,1.7678,0.6647,1.1602,-0.3974,0.0479,0.6987,0.8707,1.9322,-1.2865,0.9352
austin_43.tif,train,austin,0.3601,1.0342,-1.2274,-0.9932,0.3157,-1.7636,0.7383,-2.1288,0.3784,-2.0391,-0.2505
lima_46.tif,train,lima,0.6085,2.7258,6.2202,0.2857,1.5262,2.5897,-0.5978,-1.6280,1.1530,-1.9125,-0.4904
malopolskie_30.tif,train,malopolskie,0.2264,-4.3362,-0.2277,2.8217,-2.1267,0.1649,-0.7551,0.7493,-0.1295,-0.0747,-0.4289
wielkopolskie_22.tif,train,wielkopolskie,0.2151,1.7474,-1.3431,-2.1276,1.4721,3.0403,0.1153,1.3169,-0.1726,0.4227,0.1874
vienna_13.tif,train,vienna,0.1783,3.7051,-1.8913,-0.4073,-0.9306,-1.0316,-0.3409,-0.1086,-0.9544,1.4059,-0.0914
monrovia_38.tif,train,monrovia,0.2950,2.4452,-1.3865,-0.7296,-0.5105,-1.2639,0.5483,0.0276,-0.2161,-0.2605,-0.9681
zanzibar_27.tif,train,zanzibar,0.2991,-5.2954,-1.0755,0.2382,0.2174,-3.0820,-0.8612,1.1530,-1.1519,0.6584,0.0860
muenster_7.tif,train,muenster,0.1687,-3.0308,-1.9962,3.7808,-1.2732,0.0976,-0.2493,0.5288,-0.7807,1.4096,-0.3911
monrovia_22.tif,train,monrovia,0.2852,-2.7189,-0.5657,-3.7042,-3.2772,0.2129,-1.5771,2.4249,-0.5241,1.3666,-0.4134
aachen_4.tif,train,aachen,0.2216,2.5737,-1.3618,-0.6989,0.7648,1.4803,1.3596,0.9778,1.2414,0.2896,-0.3888
zanzibar_130.tif,train,zanzibar,0.1582,-3.1331,-0.7233,-2.9238,5.0665,0.1064,0.2906,2.5854,-0.4466,0.2822,-0.3403
dowa_10.tif,train,dowa,0.2229,5.1649,0.7923,1.0666,-0.4066,0.0656,-0.5369,0.0878,-0.9082,0.1470,-1.0010
tokyo_70.tif,train,tokyo,0.4086,1.5900,1.1100,0.7937,1.1498,0.1726,-0.0904,-0.5074,2.1916,0.0864,2.8262
muenster_5.tif,train,muenster,0.3118,1.3053,-1.4314,-0.7780,1.4101,-0.2710,0.1389,-1.1288,0.0258,0.1084,1.4022
shanghai_29.tif,train,shanghai,0.3314,0.4670,2.8059,0.7013,1.3552,-2.1568,-3.2714,-1.8705,0.2137,4.7858,1.8091
slaskie_17.tif,train,slaskie,0.0524,-4.3698,-2.7103,-3.1446,0.5040,-3.6426,-0.8517,4.3843,-3.7134,-0.3575,1.0469
tyrolw_60.tif,train,tyrolw,0.1318,-1.0558,-2.8990,2.5944,-1.8764,0.5039,0.7288,2.7255,-1.5408,-0.8259,0.2228
muenster_62.tif,train,muenster,0.1922,-3.0151,-3.1083,1.0391,-1.1717,1.5247,0.4598,-1.1946,-0.4084,-1.0493,-0.2174
ulaanbaatar_3.tif,train,ulaanbaatar,0.4019,1.2127,5.0037,-1.3379,2.4203,3.9797,-0.9203,1.4261,0.3255,-1.0848,-1.7553
duesseldorf_11.tif,train,duesseldorf,0.3653,1.9211,-0.2564,-0.5458,0.4877,-1.4361,-0.2155,-0.4099,-0.3355,0.3866,-1.1257
kitsap_27.tif,train,kitsap,0.3218,4.0208,0.4280,-0.3155,0.5890,-0.5537,-0.2792,-0.3223,-1.3358,-2.0927,0.4705
ica_19.tif,train,ica,0.2599,3.9767,0.0729,-1.2802,-1.1894,1.6835,-0.5017,0.1963,-0.8279,-1.1406,0.1334
christchurch_3.tif,train,christchurch,0.0436,-2.5885,-5.3206,-3.0787,4.2159,0.1833,1.3630,-0.7871,-0.8682,0.5773,-0.3388
sechura_21.tif,train,sechura,0.3151,2.6877,5.4136,-0.2593,-2.0210,0.6640,8.1303,1.3872,-3.6912,1.6686,0.2516
lohur_5.tif,train,lohur,0.2460,-0.9033,-0.7719,3.1433,0.6425,1.2539,-0.1593,-0.2046,-0.4069,0.2151,0.4653
baybay_66.tif,train,baybay,0.3222,-0.3784,-2.7985,0.3835,-0.9839,0.2303,1.2941,-0.1074,0.4499,-0.9685,-0.9317
piura_31.tif,train,piura,0.2536,3.9274,-1.0650,0.0664,-1.1359,-0.7482,0.4434,-0.4740,-0.1854,-0.7380,-0.5149
shanghai_30.tif,train,shanghai,0.4349,-0.8971,0.9634,-0.8421,5.1521,0.2598,-0.8133,-1.3658,1.1924,2.5586,0.6987
shanghai_32.tif,train,shanghai,0.4008,1.9890,2.2386,-0.2595,-1.8395,-0.1453,-2.2269,0.2668,0.1019,2.3082,0.4774
mahe_40.tif,train,mahe,0.0889,-2.2831,-0.0061,-5.6881,-5.1493,5.1811,-2.4011,2.3189,-1.3008,2.1490,-2.0649
tokyo_29.tif,train,tokyo,0.4560,3.7338,3.3529,0.3727,2.1396,-0.5468,-2.1080,-1.0996,-1.4023,-1.1546,2.2795
chincha_5.tif,train,chincha,0.3189,1.7591,0.5217,2.1915,-0.3503,1.2097,0.0812,0.9500,-0.1927,-1.0739,0.6172
mahe_44.tif,train,mahe,0.2322,0.3860,-1.3913,-2.2609,0.8494,2.0569,1.2169,1.6678,1.0075,-0.4038,0.1305
abancay_22.tif,train,abancay,0.2756,2.7728,-1.4483,-0.5469,0.3509,-0.9217,-0.2567,-1.2524,-0.7714,0.4785,0.5686
tokyo_17.tif,train,tokyo,0.3530,1.5772,1.3171,2.3929,-0.4765,0.0542,-0.7616,1.3466,-0.1414,0.6277,0.9542
malopolskie_33.tif,train,malopolskie,0.5176,-2.8989,1.9186,1.2201,-2.2581,0.7932,-0.3460,-2.0800,2.0503,-1.3702,1.1108
ulaanbaatar_36.tif,train,ulaanbaatar,0.4362,1.8651,3.1638,-1.0626,1.9393,2.4673,-0.9313,0.7152,0.5907,0.2083,-2.0736
kyoto_59.tif,train,kyoto,0.3446,3.8351,1.7723,0.9397,0.1901,0.2197,-0.1513,0.4421,1.4661,-0.7657,1.6092
tyrolw_38.tif,train,tyrolw,0.0633,-2.6604,-0.2996,5.2683,-1.7772,0.8093,-0.9458,1.5473,-2.3000,-0.4671,0.0444
shanghai_52.tif,train,shanghai,0.4486,3.3180,2.9984,1.0219,1.2107,-1.8837,-1.9392,-4.9042,0.4559,1.0829,0.1268
koeln_33.tif,train,koeln,0.3485,2.8347,0.0492,-0.6389,-0.5574,-1.5718,-0.0846,1.1134,-0.5816,-0.4562,-0.2533
aachen_31.tif,train,aachen,0.3838,1.9329,0.3719,-0.5270,0.6948,-0.9520,0.1706,-0.0570,0.9975,0.2138,-0.9659
tokyo_44.tif,train,tokyo,0.4672,0.2953,1.1725,0.9861,0.8536,0.1211,-0.0371,0.5131,2.1295,0.3120,2.6053
kitsap_29.tif,train,kitsap,0.0489,-5.9676,-0.9891,-4.7364,-4.7074,-2.5555,-2.9591,-0.6322,-1.6171,1.2811,0.6414
santiago_18.tif,train,santiago,0.3522,2.4367,-0.1335,-0.1178,-0.7080,-1.6739,0.1548,-1.2115,0.5868,-0.6157,-0.1752
zanzibar_18.tif,train,zanzibar,0.2943,-4.3632,-2.1581,0.2264,1.2456,-1.5087,0.3703,-1.1146,1.0716,0.8951,0.2977
ngaoundere_69.tif,train,ngaoundere,0.3674,0.7473,-0.9042,1.0285,0.8504,0.8779,0.7893,1.6935,1.0921,0.4092,0.3809
chiclayo_7.tif,train,chiclayo,0.4575,-0.3782,4.2601,1.6158,-3.5446,1.7651,8.7807,-1.8261,-0.2397,0.9671,-0.3190
duesseldorf_22.tif,train,duesseldorf,0.3342,0.1847,-0.3121,-3.3780,-1.1544,2.0818,-1.2262,-1.1545,0.1668,0.5491,0.4925
muenster_70.tif,train,muenster,0.0540,-3.0661,-2.1133,4.6514,-2.3077,1.1205,0.2347,2.0595,-0.2468,0.7366,0.4270
christchurch_47.tif,train,christchurch,0.1561,-4.8016,-0.5652,3.3211,-1.9337,0.2937,-1.0694,-2.2046,-2.0170,-2.4874,0.1023
muenster_63.tif,train,muenster,0.2204,-6.0170,1.4172,2.0161,-1.4423,-1.7891,-1.5501,-0.3695,-2.1760,-1.7160,-0.8335
vegas_23.tif,train,vegas,0.3333,4.3357,0.2087,0.3840,-0.1523,-0.6674,-0.1202,-2.2391,-0.3611,-1.3973,0.3187
tyrolw_21.tif,train,tyrolw,0.3253,1.5806,-0.7425,-1.1632,0.3055,-1.0299,0.4907,0.6586,1.0045,0.4923,-0.3350
abancay_15.tif,train,abancay,0.2890,4.0250,-0.7197,0.0826,0.0186,-0.1747,0.3013,-1.2141,-0.1512,-0.6787,-0.2898
ngaoundere_40.tif,train,ngaoundere,0.3752,2.4382,2.1717,1.1043,0.6064,1.4011,1.0319,2.1922,2.1623,-0.2096,-1.3345
tokyo_39.tif,train,tokyo,0.3170,2.8407,0.0920,-0.5712,1.7420,0.2182,-0.5019,0.4291,-0.6235,0.2673,1.9509
baybay_47.tif,train,baybay,0.0830,-2.9718,-2.7304,4.5592,-0.9876,0.7978,-0.1185,-0.9762,-1.5112,0.5690,-0.8506
swietokrzyskie_39.tif,train,swietokrzyskie,0.1133,-4.0568,0.2012,4.9657,1.0531,1.1708,-1.7763,-0.2465,-1.9835,1.2795,0.4002
shanghai_45.tif,train,shanghai,0.5789,1.3402,2.8315,-1.3025,0.8101,-1.9269,-0.9741,1.9561,-0.4703,-1.8365,1.8308
duesseldorf_48.tif,train,duesseldorf,0.2774,3.4827,0.1525,-0.3738,-0.0724,-0.0921,0.3721,-0.0513,0.5170,0.0678,-1.0388
chiclayo_16.tif,train,chiclayo,0.3705,-3.9895,3.5829,2.8898,-0.1565,-1.1321,-1.4394,2.2408,-2.0040,-3.5427,0.9970
bielefeld_49.tif,train,bielefeld,0.3855,-2.8916,-0.9380,-2.2349,0.4147,-4.0670,0.1400,0.2664,0.3372,0.1322,-1.9308
ica_27.tif,train,ica,0.5377,0.5826,6.7985,1.6066,-0.2182,0.7891,4.5512,0.9277,0.3621,-1.1138,2.1072
lodzkie_15.tif,train,lodzkie,0.2747,-1.8183,-2.1835,1.9588,-0.5594,0.5698,1.6281,-0.7815,0.8998,-1.0084,-1.6986
zanzibar_75.tif,train,zanzibar,0.6268,-5.0626,5.8856,-4.3376,-2.8083,-1.5752,-2.6810,-0.9338,-0.8842,-2.5222,-0.8228
western_6.tif,train,western,0.7628,-4.5195,8.4667,-3.0789,-0.1438,-2.4478,1.9260,-1.5514,-1.1393,-1.9556,-1.7346
zanzibar_22.tif,train,zanzibar,0.3147,-5.5162,-0.1812,-1.3464,2.1460,-2.8549,-0.7660,1.5770,-1.5227,-0.5703,-0.7368
sechura_5.tif,train,sechura,0.2433,5.0379,-0.1796,0.6588,-1.5998,-1.3764,-0.7833,-0.6226,-1.1542,0.5557,-0.1857
chisinau_28.tif,train,chisinau,0.2564,2.5732,-1.4552,-0.6491,-1.5379,-2.1961,0.2430,0.0012,-0.2613,0.2272,-1.1739
rosario_9.tif,train,rosario,0.3528,-1.1684,-1.8335,1.6158,2.4031,1.9391,1.0037,0.0850,0.5771,-0.3462,0.5732
zanzibar_54.tif,train,zanzibar,0.2412,-4.8232,1.2524,-2.5501,-1.0019,-7.3606,-1.8118,0.9803,-3.3585,-1.4324,-1.1663
melbourne_60.tif,train,melbourne,0.2738,2.8412,-0.9082,-1.1301,1.3110,0.1468,0.1983,1.8505,-1.2107,-0.5560,-0.0143
svaneti_50.tif,train,svaneti,0.4089,-1.9457,-1.3501,-1.5298,-0.3361,-3.0287,1.1030,1.2919,2.2744,0.4019,-1.6185
dortmund_60.tif,train,dortmund,0.2581,1.0687,-2.5621,-1.3491,0.7871,-0.3194,0.9440,0.3145,-0.4264,-0.7947,0.2763
malopolskie_26.tif,train,malopolskie,0.1559,-4.2849,-0.5635,2.5571,-2.5793,2.1632,-0.9636,-0.8244,0.3137,0.7332,-0.6984
duesseldorf_40.tif,train,duesseldorf,0.3056,-2.4060,-1.8855,1.4805,-1.3294,-2.0079,0.3411,-0.8791,0.7857,0.1175,0.2801
lodzkie_14.tif,train,lodzkie,0.2100,-2.5240,-2.2117,3.6737,-1.9431,-0.4376,0.0429,-0.6103,-0.6521,-0.2027,0.8782
rotterdam_45.tif,train,rotterdam,0.3335,0.5460,3.7250,1.4676,4.6011,2.1112,-1.7014,1.6329,-2.5231,-1.7143,0.3378
abancay_29.tif,train,abancay,0.3978,0.3903,-0.1915,0.2181,2.6284,0.9595,0.5028,0.3642,0.7203,-0.4244,1.2936
kyoto_16.tif,train,kyoto,0.4241,-0.7512,0.7789,0.2994,-1.8501,1.3984,-0.5004,-0.0187,1.4638,-0.2751,-0.1953
piura_3.tif,train,piura,0.3291,-0.0718,2.3604,0.4088,-2.4793,2.6260,0.2722,3.5377,1.8980,0.7768,0.1985
coxsbazar_21.tif,train,coxsbazar,0.2973,-4.9076,0.5446,1.5325,-1.8971,0.0611,-1.2585,0.6885,0.4819,0.5181,0.0240
ulaanbaatar_6.tif,train,ulaanbaatar,0.4730,1.1487,3.0869,-0.3826,3.2446,0.5460,-0.2388,1.9611,0.7659,-0.4990,-2.5252
chisinau_6.tif,train,chisinau,0.2218,4.3793,-0.3658,0.3535,-1.7537,-1.5672,-0.6053,-0.0812,-1.0340,0.5229,-0.4232
zanzibar_78.tif,train,zanzibar,0.3758,-3.0579,0.7043,-2.2458,4.8337,0.4884,0.2742,0.6826,0.3803,-1.0060,1.5294
sechura_3.tif,train,sechura,0.1928,5.5966,0.3632,1.0800,-1.2161,-0.3534,-0.7973,0.6386,-1.5558,0.4043,0.3287
rio_32.tif,train,rio,0.3132,-2.6170,-1.0192,-2.3297,2.5923,-2.2183,0.0011,-0.0754,0.3229,0.6333,-0.9122
coxsbazar_71.tif,train,coxsbazar,0.1271,-3.4067,-4.8225,0.9958,-1.8507,-2.0638,0.8895,-0.3509,-0.7671,0.3629,-0.4482
chincha_48.tif,train,chincha,0.2410,4.5017,-0.6755,0.0426,0.1345,0.0779,-0.1811,-0.7329,-0.5537,0.0127,0.1203
zanzibar_26.tif,train,zanzibar,0.2895,-5.2974,-1.3600,0.0055,1.4859,-2.0369,-0.0647,-0.1780,0.4635,0.5814,-0.4252
aachen_37.tif,train,aachen,0.2079,-1.9026,-0.4366,4.1014,1.8290,2.0253,-0.8756,-1.0717,-0.8728,1.2449,0.8248
zanzibar_131.tif,train,zanzibar,0.2148,-2.2268,-1.1267,-2.6803,2.7698,0.0148,1.0092,2.5998,0.0863,-0.6699,-0.2667
zanzibar_85.tif,train,zanzibar,0.5075,-4.7052,3.3576,-2.5518,5.1560,0.6228,-2.3181,1.3929,0.6498,1.8383,2.7470
viru_33.tif,train,viru,0.1364,-0.9077,-0.8968,5.3222,-0.7748,1.7756,-0.4240,-0.1380,-1.4932,0.2282,-0.7189
zanzibar_118.tif,train,zanzibar,0.2235,-2.4437,-0.4421,-2.2637,5.5287,0.5389,-0.3480,1.3596,-0.9400,0.5910,0.9486
kyoto_37.tif,train,kyoto,0.1582,-3.9116,-2.0607,-1.2746,-3.4474,-0.1893,-0.1983,1.6507,0.2546,-1.0804,2.2806
ica_34.tif,train,ica,0.2496,4.7314,-0.4551,0.3216,-1.5237,-1.8422,-0.7810,-1.7702,-1.0064,0.2516,0.0214
rotterdam_9.tif,train,rotterdam,0.4768,1.9781,0.9008,-0.3253,-0.0778,-2.1680,-0.0666,-1.8392,0.7953,-1.0014,-1.3910
viru_21.tif,train,viru,0.2442,3.2050,-0.7883,2.3141,-2.4612,-0.0203,0.5755,0.5996,0.3539,-1.1800,0.4959
abancay_50.tif,train,abancay,0.3137,2.6181,0.0027,-0.3849,2.9147,0.8226,-0.3347,-0.3864,-0.6829,0.5224,0.2071
tokyo_20.tif,train,tokyo,0.3953,3.3046,2.5749,0.7032,0.7455,-0.5368,-1.1995,0.0590,1.2305,1.2987,2.4239
khartoum_20.tif,train,khartoum,0.4035,2.4222,1.5049,0.1790,-0.4026,-2.5886,-2.0458,-0.9141,-0.6835,2.4267,1.3206
melbourne_25.tif,train,melbourne,0.3000,2.5767,-0.5986,-0.5521,1.2100,-0.5347,-0.4210,-1.4325,-0.3901,0.2443,1.2394
muenster_14.tif,train,muenster,0.3034,1.5610,-1.5495,-0.8034,1.3794,-0.1976,0.2994,-0.9097,0.1197,0.2251,0.6821
swietokrzyskie_23.tif,train,swietokrzyskie,0.2353,-1.5247,-2.0042,4.1374,-0.4345,1.3882,0.7817,-1.8000,0.1464,-0.7362,-1.1137
lohur_34.tif,train,lohur,0.2780,-2.2528,0.8188,3.6799,0.9858,2.9568,-0.6618,-0.2218,0.3871,0.4232,-0.6725
baybay_58.tif,train,baybay,0.3054,-3.4549,-1.3201,-2.4025,-0.0405,-5.4007,-0.4368,1.1248,-0.5775,1.4589,-3.0045
paris_38.tif,train,paris,0.4318,-0.7971,1.3352,-0.9934,5.8923,0.7739,-0.7917,-0.9803,0.0154,1.0796,0.3032
khartoum_21.tif,train,khartoum,0.6728,-0.5702,11.8722,-0.0035,1.7580,-0.1248,0.5459,2.2600,0.0321,0.2781,-0.3561
svaneti_45.tif,train,svaneti,0.5063,-2.4480,-1.1273,0.4330,1.9174,0.1366,0.9051,0.8597,2.2190,0.6545,1.1708
paris_70.tif,train,paris,0.4867,1.5407,1.4121,-0.3069,2.6198,-0.9106,-0.7492,-2.4436,-0.0872,0.0950,-0.7354
chisinau_66.tif,train,chisinau,0.2972,1.6010,-0.3924,-0.8624,-0.2148,-1.2938,-0.0696,2.1980,-1.5448,-1.0601,0.0167
kitsap_26.tif,train,kitsap,0.3207,3.9387,0.1642,-0.5547,0.7247,-0.5109,-0.1577,-0.1936,-1.3322,-2.1694,0.5299
aachen_21.tif,train,aachen,0.3472,-0.7119,-1.0863,1.3670,0.0946,-0.4140,0.3229,0.0453,0.4142,-0.1292,0.2331
coxsbazar_54.tif,train,coxsbazar,0.1188,-6.5842,-1.8421,-1.3974,-3.9911,-1.6714,-1.6190,-0.1426,0.0575,1.3189,1.4931
sechura_31.tif,train,sechura,0.3690,2.5109,1.6814,-0.6571,0.0791,0.0492,0.8262,2.5873,0.6059,-0.7642,-0.8079
pomorskie_32.tif,train,pomorskie,0.2407,-2.7694,-0.0395,-1.4095,-1.2136,5.5561,-1.6404,-1.0723,-0.5571,-0.1334,0.0081
rio_12.tif,train,rio,0.3526,3.7553,1.3362,0.2006,1.1271,-0.6962,-0.9534,-1.7319,-0.5495,-0.3564,0.2346
pisco_33.tif,train,pisco,0.6909,-6.4081,8.8333,-1.6303,1.2559,0.5244,4.8725,-1.9896,-1.6253,-0.0887,0.7653
kitsap_14.tif,train,kitsap,0.2803,1.8177,-1.8585,-1.1444,1.2194,0.0111,1.0441,-0.6648,-0.1246,-1.8280,0.4911
bielefeld_56.tif,train,bielefeld,0.3694,-1.3841,-1.3061,-1.8608,1.4510,-2.2696,0.2933,-0.0476,-0.0893,0.2404,-1.6187
melbourne_34.tif,train,melbourne,0.3383,1.8778,-0.5992,-0.9396,1.1167,-0.3452,0.2707,-0.7780,-0.2431,-1.9073,1.7069
tokyo_31.tif,train,tokyo,0.5459,2.6840,5.2712,-1.2385,-0.2331,1.8048,-3.4340,-2.5401,-0.9085,-2.1262,3.1842
chincha_18.tif,train,chincha,0.2031,3.5782,-0.1864,-0.0532,0.4973,1.1008,0.3392,2.3194,-1.2570,-1.1840,0.9973
kyoto_35.tif,train,kyoto,0.2292,-5.5461,-0.2639,0.1658,-2.0647,-4.2790,-0.6658,1.3820,1.3724,-0.2824,4.2630
ngaoundere_3.tif,train,ngaoundere,0.4196,0.7077,1.4069,0.5128,-2.6247,1.5848,0.7599,1.2057,2.6502,-0.8873,-1.8188
monrovia_51.tif,train,monrovia,0.2708,2.8454,0.2582,-0.4165,2.4255,1.4821,-0.1736,1.3692,-0.6759,-0.2374,1.1974
tonga_62.tif,train,tonga,0.3722,0.6446,-0.3492,-1.2517,1.0710,0.5693,0.3077,-0.9091,1.5594,0.0680,0.8675
bielefeld_34.tif,train,bielefeld,0.3748,-2.2992,-2.0146,0.2197,-1.2614,-2.0430,1.5071,0.9505,2.2165,-0.4959,-0.6135
tonga_65.tif,train,tonga,0.2511,0.5525,3.0385,-3.5649,-1.4601,6.6387,0.7818,-1.3662,-0.9889,-0.2608,-1.0562
rotterdam_31.tif,train,rotterdam,0.3866,-0.0011,-0.1185,-2.8480,-0.9868,0.5088,-1.2315,-1.2373,0.1676,0.8755,0.4018
zanzibar_111.tif,train,zanzibar,0.7883,-3.3431,4.9761,-2.6829,-1.5152,-0.9699,-0.8417,1.3176,1.4263,-2.6086,0.0987
kagera_27.tif,train,kagera,0.5156,-2.8267,1.0028,2.7374,-0.1837,-1.3259,-0.1506,-1.1018,2.7597,1.2850,-0.1152
tonga_47.tif,train,tonga,0.3069,1.2037,-1.4715,-1.0789,2.1356,0.1414,0.4419,0.0981,-0.2343,0.3683,0.0409
baybay_36.tif,train,baybay,0.1706,-2.1885,-3.6495,1.7799,-2.0370,-1.5704,0.8095,-0.5262,-0.3573,-0.3352,-0.3720
santiago_70.tif,train,santiago,0.3341,-1.5837,-1.0423,-2.3296,-0.7347,-1.8898,0.0874,-0.8737,-0.1032,-1.8776,-0.3106
christchurch_5.tif,train,christchurch,0.3386,1.2436,-1.2944,-1.1052,-0.2614,-0.9462,0.6594,-1.3405,0.2425,-1.4776,-0.0903
christchurch_64.tif,train,christchurch,0.3102,0.0173,1.8054,-3.3555,-2.1281,4.5781,-0.9147,1.5238,0.0777,-0.9008,-0.2801
swietokrzyskie_26.tif,train,swietokrzyskie,0.0627,-6.6525,3.8719,5.1977,1.1184,-1.2612,-4.0867,0.6571,-5.3185,-1.3158,0.5995
accra_43.tif,train,accra,0.2176,-1.3312,-2.5093,-2.1111,4.3072,0.8220,0.6244,0.9778,-1.3362,-0.2329,0.3808
dhaka_46.tif,train,dhaka,0.2223,0.9487,-0.7730,-2.4686,-2.2263,1.6139,-1.8063,-1.7818,0.1180,2.5139,0.8653
ulaanbaatar_46.tif,train,ulaanbaatar,0.4187,4.3915,3.3665,0.5840,1.5947,-0.4637,-0.6846,1.2812,-0.7266,-0.5789,-3.7767
dowa_15.tif,train,dowa,0.2639,2.6273,-0.6727,1.7559,-1.6065,-0.1914,0.1184,1.6490,-0.4024,0.1916,-0.7407
baybay_7.tif,train,baybay,0.1901,-2.8135,-3.0077,-0.3726,-0.0554,-1.1785,1.0420,1.5363,-1.2932,-2.7637,0.6710
baybay_39.tif,train,baybay,0.0547,-4.9292,-1.5580,4.7305,-1.1035,-0.6650,-1.6317,0.5259,-3.0924,1.9043,-1.6500
