filename,split,Bareland_gt_reg,Bareland_ps_reg,Rangeland_gt_reg,Rangeland_ps_reg,Developed_gt_reg,Developed_ps_reg,Road_gt_reg,Road_ps_reg,Tree_gt_reg,Tree_ps_reg,Water_gt_reg,Water_ps_reg,Agriculture_gt_reg,Agriculture_ps_reg,Building_gt_reg,Building_ps_reg,gt_regions,ps_regions,frag_ratio
ulaanbaatar_3.tif,train,21,0,301,166,114,55,7,54,36,34,8,45,0,0,192,94,679,448,0.66
duesseldorf_11.tif,train,0,0,403,371,247,301,7,99,423,266,0,0,0,1,189,172,1269,1210,0.95
kitsap_27.tif,train,0,0,269,266,207,81,6,38,430,225,0,0,0,0,123,147,1035,757,0.73
ica_19.tif,train,0,0,173,47,135,115,2,13,192,129,2,2,0,0,77,88,581,394,0.68
christchurch_3.tif,train,0,0,50,42,27,49,7,20,28,18,0,0,0,2,1,1,113,132,1.17
sechura_21.tif,train,6,17,58,60,54,10,4,33,167,87,0,7,0,0,34,61,323,275,0.85
lohur_5.tif,train,0,0,434,257,102,258,4,22,261,161,0,0,46,45,77,92,924,835,0.90
baybay_66.tif,train,0,0,210,379,166,359,4,18,274,114,2,12,5,9,84,97,745,988,1.33
piura_31.tif,train,0,0,162,67,404,126,8,25,206,128,1,0,0,4,62,89,843,439,0.52
shanghai_30.tif,train,0,0,52,21,27,26,2,15,73,15,0,2,0,14,9,12,163,105,0.64
shanghai_32.tif,train,0,0,0,46,39,51,3,23,13,20,1,5,0,22,21,16,77,183,2.38
mahe_40.tif,train,2,1,115,74,10,45,0,13,24,16,2,6,0,0,7,8,160,163,1.02
tokyo_29.tif,train,0,0,49,129,390,146,6,97,187,86,0,0,0,41,113,94,745,593,0.80
chincha_5.tif,train,0,0,85,101,121,125,2,26,158,149,2,6,8,10,70,92,446,509,1.14
mahe_44.tif,train,2,0,152,109,98,171,4,41,204,105,3,1,0,2,39,51,502,480,0.96
abancay_22.tif,train,0,0,91,209,253,310,3,20,167,149,0,0,0,0,69,74,583,762,1.31
tokyo_17.tif,train,0,0,23,244,176,103,11,92,105,85,0,0,17,27,429,168,761,719,0.94
malopolskie_33.tif,train,2,0,11,131,3,61,1,12,63,30,2,46,9,12,6,17,97,309,3.19
ulaanbaatar_36.tif,train,0,0,143,141,326,71,7,32,16,39,1,37,0,25,192,176,685,521,0.76
kyoto_59.tif,train,0,0,79,84,293,112,10,85,203,107,1,0,4,10,212,191,802,589,0.73
tyrolw_38.tif,train,0,0,123,49,11,51,3,17,19,14,0,11,9,10,4,3,169,155,0.92
shanghai_52.tif,train,0,0,95,12,87,73,4,13,184,34,0,5,0,0,27,36,397,173,0.44
koeln_33.tif,train,0,0,263,323,165,223,31,119,287,150,0,3,0,15,58,87,804,920,1.14
aachen_31.tif,train,0,0,346,187,241,224,5,97,451,139,1,0,0,0,133,114,1177,761,0.65
tokyo_44.tif,train,0,0,110,308,269,272,7,111,204,105,2,1,24,19,666,183,1282,999,0.78
kitsap_29.tif,train,0,0,17,61,15,1,0,1,6,6,5,3,0,0,5,5,48,77,1.60
santiago_18.tif,train,0,0,526,167,384,283,8,59,231,178,1,0,0,0,73,134,1223,821,0.67
zanzibar_18.tif,train,0,0,124,137,11,101,5,8,356,183,0,7,26,19,18,14,540,469,0.87
ngaoundere_69.tif,train,0,0,56,245,96,244,9,45,172,142,0,0,57,42,104,103,494,821,1.66
chiclayo_7.tif,train,3,24,211,160,93,80,4,8,165,187,1,14,6,14,41,34,524,521,0.99
duesseldorf_22.tif,train,0,0,480,181,405,337,15,63,318,149,6,1,0,1,114,115,1338,847,0.63
muenster_70.tif,train,0,0,27,87,14,22,5,11,50,25,4,0,11,6,10,13,121,164,1.36
christchurch_47.tif,train,0,0,21,65,0,69,1,31,34,37,1,9,2,21,2,6,61,238,3.90
muenster_63.tif,train,0,0,15,91,0,10,15,12,31,23,5,26,11,14,0,10,77,186,2.42
vegas_23.tif,train,0,0,77,77,30,33,5,4,162,46,10,0,0,0,37,30,321,190,0.59
tyrolw_21.tif,train,0,0,96,189,230,160,6,62,178,120,2,1,0,4,88,104,600,640,1.07
abancay_15.tif,train,0,0,174,99,207,134,2,15,198,192,2,0,0,0,96,98,679,538,0.79
ngaoundere_40.tif,train,48,0,195,251,110,88,4,33,363,89,0,0,16,56,144,122,880,639,0.73
tokyo_39.tif,train,0,0,201,211,216,160,6,76,357,70,0,5,0,6,53,84,833,612,0.73
baybay_47.tif,train,0,0,115,114,34,89,10,7,77,50,0,0,6,13,23,24,265,297,1.12
swietokrzyskie_39.tif,train,0,0,26,17,8,31,1,15,42,19,0,0,5,13,15,13,97,108,1.11
shanghai_45.tif,train,0,0,7,22,14,14,1,9,56,6,0,0,0,3,4,6,82,60,0.73
duesseldorf_48.tif,train,9,0,206,118,299,146,7,48,205,97,0,0,0,0,35,53,761,462,0.61
chiclayo_16.tif,train,0,1,104,140,19,67,2,7,173,111,0,5,11,42,1,3,310,376,1.21
bielefeld_49.tif,train,0,0,72,202,15,59,7,39,1038,39,0,0,0,0,15,15,1147,354,0.31
ica_27.tif,train,14,80,139,205,40,41,1,15,329,132,0,0,9,6,35,25,567,504,0.89
lodzkie_15.tif,train,5,0,78,155,15,155,1,16,56,67,0,2,7,21,27,35,189,451,2.39
zanzibar_75.tif,train,103,0,17,227,0,128,0,0,134,89,10,24,0,98,0,0,264,566,2.14
western_6.tif,train,71,103,223,177,0,58,0,4,278,111,37,118,0,0,0,6,609,577,0.95
zanzibar_22.tif,train,0,0,18,116,5,89,0,5,124,171,0,0,4,96,5,14,156,491,3.15
sechura_5.tif,train,0,0,62,28,119,173,1,19,89,76,0,0,0,3,29,67,300,366,1.22
chisinau_28.tif,train,0,0,220,55,155,178,19,42,145,94,0,0,0,0,29,57,568,426,0.75
rosario_9.tif,train,0,0,113,93,86,161,2,21,153,109,1,0,1,2,18,25,374,411,1.10
zanzibar_54.tif,train,0,30,267,583,0,534,0,0,38,111,0,57,0,5,0,0,305,1320,4.33
melbourne_60.tif,train,0,0,89,116,39,86,9,32,78,82,0,0,0,1,17,31,232,348,1.50
svaneti_50.tif,train,0,0,63,183,12,151,11,71,174,34,0,27,7,2,32,30,299,498,1.67
dortmund_60.tif,train,0,0,510,332,208,382,18,75,292,177,21,0,0,7,178,152,1227,1125,0.92
malopolskie_26.tif,train,0,0,35,68,3,39,5,15,37,31,3,14,8,11,4,13,95,191,2.01
duesseldorf_40.tif,train,0,0,105,85,38,134,27,27,178,58,0,0,8,20,22,24,378,348,0.92
lodzkie_14.tif,train,0,0,6,63,3,25,1,7,17,25,0,3,14,15,3,5,44,143,3.25
rotterdam_45.tif,train,0,0,22,111,83,69,50,61,2,9,0,16,3,12,16,28,176,306,1.74
abancay_29.tif,train,0,0,99,134,81,256,3,22,136,111,0,0,6,24,76,85,401,632,1.58
kyoto_16.tif,train,0,0,163,150,127,162,1,65,202,135,2,11,27,35,157,130,679,688,1.01
piura_3.tif,train,1,61,197,194,119,104,9,13,154,137,10,49,14,9,97,83,601,650,1.08
coxsbazar_21.tif,train,0,0,70,136,54,115,2,25,171,68,1,5,17,19,68,67,383,435,1.14
ulaanbaatar_6.tif,train,0,1,89,212,70,131,1,37,0,30,0,67,1,37,106,105,267,620,2.32
chisinau_6.tif,train,0,0,25,6,108,74,7,34,64,71,0,0,0,0,12,59,216,244,1.13
zanzibar_78.tif,train,12,0,142,42,50,86,7,10,468,285,0,9,0,7,31,15,710,454,0.64
sechura_3.tif,train,0,0,125,51,77,86,1,26,128,68,0,6,0,0,39,55,370,292,0.79
rio_32.tif,train,0,0,22,60,13,74,3,11,60,26,0,0,0,0,26,28,124,199,1.60
coxsbazar_71.tif,train,0,0,18,64,10,16,1,4,10,39,0,3,5,4,11,2,55,132,2.40
chincha_48.tif,train,0,0,7,21,109,162,1,13,11,26,1,0,0,3,48,73,177,298,1.68
zanzibar_26.tif,train,0,0,112,130,13,113,3,33,388,140,0,8,14,25,30,30,560,479,0.86
aachen_37.tif,train,0,0,484,74,290,214,12,26,390,94,0,0,2,2,104,100,1282,510,0.40
zanzibar_131.tif,train,3,2,183,208,119,236,40,22,1021,319,0,1,0,14,221,111,1587,913,0.58
zanzibar_85.tif,train,0,3,335,30,8,98,3,5,1636,7,1,24,0,0,11,4,1994,171,0.09
viru_33.tif,train,0,0,197,174,163,135,6,23,132,94,0,6,9,18,27,17,534,467,0.87
zanzibar_118.tif,train,0,3,59,101,98,220,6,23,613,257,0,1,0,0,184,105,960,710,0.74
kyoto_37.tif,train,0,0,125,184,23,120,1,46,21,24,4,3,14,22,38,30,226,429,1.90
ica_34.tif,train,0,0,155,25,357,240,14,33,165,83,0,1,0,0,55,59,746,441,0.59
rotterdam_9.tif,train,0,0,91,248,221,278,11,33,472,227,1,2,0,5,162,142,958,935,0.98
viru_21.tif,train,0,0,120,54,393,114,3,37,151,131,1,0,1,1,62,126,731,463,0.63
abancay_50.tif,train,0,0,103,146,157,192,3,17,145,159,0,2,0,5,109,89,517,610,1.18
tokyo_20.tif,train,0,0,126,198,440,130,9,161,176,51,0,0,10,0,825,188,1586,728,0.46
khartoum_20.tif,train,0,1,0,29,50,96,8,27,54,54,0,3,0,10,39,20,151,240,1.59
melbourne_25.tif,train,0,0,307,201,145,197,9,42,97,196,0,10,0,0,29,59,587,705,1.20
muenster_14.tif,train,0,0,594,536,513,686,16,127,649,398,9,0,0,0,178,185,1959,1932,0.99
swietokrzyskie_23.tif,train,0,0,39,63,29,69,1,22,39,27,1,0,50,15,13,15,172,211,1.23
lohur_34.tif,train,0,0,83,68,45,61,2,14,44,24,7,2,5,23,10,9,196,201,1.03
baybay_58.tif,train,0,0,185,234,0,18,0,1,107,22,0,0,0,0,1,1,293,276,0.94
paris_38.tif,train,0,0,18,30,39,31,3,10,176,9,0,0,0,10,21,32,257,122,0.47
khartoum_21.tif,train,5,5,0,21,9,22,3,4,7,4,0,18,0,1,6,9,30,84,2.80
svaneti_45.tif,train,0,0,166,61,6,42,5,19,189,83,0,16,10,23,3,3,379,247,0.65
paris_70.tif,train,0,0,38,95,75,89,1,11,76,33,0,0,0,8,44,49,234,285,1.22
chisinau_66.tif,train,0,0,302,142,101,114,1,30,164,114,0,1,0,2,26,66,594,469,0.79
kitsap_26.tif,train,0,0,283,258,169,84,6,19,423,195,0,0,0,0,121,123,1002,679,0.68
aachen_21.tif,train,0,0,239,264,147,253,5,46,276,190,0,1,2,10,200,154,869,918,1.06
coxsbazar_54.tif,train,0,3,36,84,3,19,0,4,10,17,6,24,5,5,1,1,61,157,2.57
sechura_31.tif,train,5,0,140,83,85,51,3,33,278,107,0,9,0,4,43,71,554,358,0.65
pomorskie_32.tif,train,0,0,156,117,67,225,2,19,167,78,2,2,5,10,141,125,540,576,1.07
rio_12.tif,train,0,0,34,43,67,59,2,9,103,50,0,0,0,0,39,42,245,203,0.83
pisco_33.tif,train,20,78,91,92,32,51,0,1,64,23,3,58,6,7,0,0,216,310,1.44
kitsap_14.tif,train,0,0,183,359,131,253,5,15,266,186,2,0,0,0,124,153,711,966,1.36
bielefeld_56.tif,train,0,0,186,245,124,298,5,47,458,104,0,0,0,1,124,122,897,817,0.91
melbourne_34.tif,train,0,0,233,214,478,200,4,31,96,179,2,5,0,2,200,115,1013,746,0.74
tokyo_31.tif,train,0,0,25,159,198,69,13,101,321,32,2,2,0,1,70,81,629,445,0.71
chincha_18.tif,train,0,0,156,66,164,83,3,16,324,134,1,2,0,0,81,105,729,406,0.56
kyoto_35.tif,train,0,0,18,93,6,8,2,5,5,44,7,5,1,5,11,8,50,168,3.36
ngaoundere_3.tif,train,26,3,312,127,181,94,2,42,234,174,41,12,28,41,211,167,1035,660,0.64
monrovia_51.tif,train,0,0,75,76,63,60,3,16,50,25,5,3,0,12,26,70,222,262,1.18
tonga_62.tif,train,0,0,551,438,128,578,7,33,163,364,2,1,0,0,121,122,972,1536,1.58
bielefeld_34.tif,train,0,0,49,206,13,37,4,16,141,24,2,1,2,2,8,10,219,296,1.35
tonga_65.tif,train,6,1,351,171,144,216,4,20,149,171,30,5,0,0,56,89,740,673,0.91
rotterdam_31.tif,train,0,0,47,107,147,172,20,50,108,85,7,9,0,18,165,60,494,501,1.01
zanzibar_111.tif,train,6,0,111,214,6,133,0,5,188,97,3,3,0,1,60,28,374,481,1.29
kagera_27.tif,train,0,0,39,183,7,234,3,4,467,153,0,2,62,68,29,41,607,685,1.13
tonga_47.tif,train,0,0,247,350,169,428,4,14,314,284,0,8,0,3,105,116,839,1203,1.43
baybay_36.tif,train,0,0,584,341,147,224,5,20,141,47,0,1,21,10,49,55,947,698,0.74
santiago_70.tif,train,0,0,341,269,97,280,16,66,128,72,9,3,0,2,42,116,633,808,1.28
christchurch_5.tif,train,0,0,308,525,110,363,4,38,200,228,10,9,0,0,93,121,725,1284,1.77
christchurch_64.tif,train,1,0,72,57,19,93,1,22,25,14,1,29,0,8,16,19,135,242,1.79
swietokrzyskie_26.tif,train,0,0,4,21,0,4,0,3,10,14,0,0,1,5,1,0,16,47,2.94
accra_43.tif,train,0,0,59,54,24,73,2,10,103,257,0,0,0,0,20,22,208,416,2.00
dhaka_46.tif,train,0,0,105,471,258,531,4,32,165,263,6,10,0,0,66,65,604,1372,2.27
ulaanbaatar_46.tif,train,0,0,160,35,133,13,2,35,0,74,0,0,0,7,320,224,615,388,0.63
dowa_15.tif,train,0,0,60,75,337,132,1,40,56,35,0,0,5,8,428,145,887,435,0.49
baybay_7.tif,train,0,0,112,198,4,64,1,6,125,70,0,3,6,12,14,9,262,362,1.38
baybay_39.tif,train,0,0,24,26,23,7,0,1,24,15,0,0,1,3,5,3,77,55,0.71
zanzibar_17.tif,train,0,0,99,93,0,5,5,5,316,70,0,0,9,19,3,0,432,192,0.44
zanzibar_113.tif,train,2,0,97,290,25,162,1,7,292,129,5,4,0,5,64,30,486,627,1.29
chisinau_59.tif,train,0,0,131,41,110,145,9,57,129,115,0,0,0,1,29,43,408,402,0.99
viru_5.tif,train,0,0,68,30,147,142,1,26,127,98,0,0,0,2,44,71,387,369,0.95
paris_50.tif,train,0,0,40,71,72,91,2,7,138,17,0,0,0,19,53,37,305,242,0.79
piura_25.tif,train,0,0,102,150,4,132,0,30,149,99,2,9,23,56,2,3,282,479,1.70
shanghai_7.tif,train,0,0,45,83,56,59,6,34,78,50,0,0,0,6,22,48,207,280,1.35
chiclayo_28.tif,train,0,0,63,193,52,92,4,26,82,81,1,19,19,24,29,22,250,457,1.83
tyrolw_61.tif,train,0,0,37,141,45,73,1,23,95,53,1,4,8,20,20,27,207,341,1.65
aachen_30.tif,train,0,0,373,178,255,252,4,33,195,167,2,0,0,2,161,136,990,768,0.78
daressalaam_94.tif,train,0,0,458,130,329,409,8,41,357,282,17,1,0,0,164,116,1333,979,0.73
kagera_15.tif,train,0,0,263,364,86,478,21,24,194,106,0,5,20,9,83,86,667,1072,1.61
kitsap_39.tif,train,0,0,209,318,99,276,4,32,371,154,1,0,0,0,88,105,772,885,1.15
christchurch_50.tif,train,0,0,119,112,123,244,4,27,207,107,1,2,0,4,28,34,482,530,1.10
vegas_19.tif,train,0,6,3,20,4,6,3,4,366,14,0,8,0,0,8,12,384,70,0.18
chisinau_40.tif,train,0,0,169,46,100,144,4,26,81,90,0,0,0,0,36,58,390,364,0.93
malopolskie_1.tif,train,0,0,10,11,0,16,1,3,17,16,1,3,1,30,1,1,31,80,2.58
wielkopolskie_26.tif,train,0,0,13,30,12,65,2,43,9,12,0,0,1,20,9,4,46,174,3.78
bielefeld_42.tif,train,0,0,296,210,164,493,5,26,268,220,8,0,0,8,224,192,965,1149,1.19
kampala_6.tif,train,0,0,226,266,271,456,11,57,249,242,0,3,0,12,125,109,882,1145,1.30
podkarpackie_7.tif,train,0,0,0,12,0,0,0,10,4,5,0,0,1,4,1,0,6,31,5.17
shanghai_40.tif,train,2,0,15,73,75,77,5,24,62,37,2,3,0,18,65,20,226,252,1.12
muenster_68.tif,train,0,0,36,84,20,29,3,28,71,42,0,0,11,8,12,10,153,201,1.31
maputo_14.tif,train,0,0,54,76,477,254,9,51,164,195,3,13,0,2,253,94,960,685,0.71
aachen_64.tif,train,0,0,35,81,26,108,11,42,28,29,1,1,4,9,2,16,107,286,2.67
baybay_8.tif,train,0,0,353,321,73,183,2,6,161,40,0,4,4,10,30,29,623,593,0.95
kagera_36.tif,train,0,0,51,200,95,305,1,18,583,153,0,1,15,19,51,55,796,751,0.94
baybay_13.tif,train,0,0,239,184,46,84,1,19,145,23,0,4,10,25,31,26,472,365,0.77
shanghai_28.tif,train,0,0,43,101,31,43,2,10,151,13,0,0,0,0,18,11,245,178,0.73
kagera_66.tif,train,0,0,102,185,84,213,11,12,129,131,0,2,4,2,46,48,376,593,1.58
svaneti_54.tif,train,0,0,28,25,52,62,2,10,126,33,0,1,6,13,17,16,231,160,0.69
austin_45.tif,train,1,0,222,156,155,177,12,31,216,82,0,0,0,0,24,23,630,469,0.74
baybay_2.tif,train,0,0,282,324,221,347,5,27,243,148,0,2,3,5,80,77,834,930,1.12
pomorskie_38.tif,train,0,0,137,213,36,200,10,47,67,59,0,0,4,8,72,77,326,604,1.85
bogota_3.tif,train,0,0,136,263,152,284,6,60,163,177,0,5,0,1,34,96,491,886,1.80
ica_9.tif,train,0,0,93,97,225,188,1,8,360,204,0,0,0,0,83,70,762,567,0.74
piura_45.tif,train,9,8,326,250,160,141,3,16,328,245,1,6,0,63,73,57,900,786,0.87
zanzibar_19.tif,train,0,0,40,117,18,131,0,6,376,201,0,1,15,49,10,7,459,512,1.12
monrovia_57.tif,train,5,6,133,171,73,236,1,9,261,202,0,56,17,48,64,58,554,786,1.42
lubuskie_7.tif,train,0,0,26,19,2,5,1,13,105,30,3,8,1,13,1,0,139,88,0.63
accra_65.tif,train,0,0,138,240,122,314,6,51,374,232,0,0,0,2,105,107,745,946,1.27
kitsap_15.tif,train,0,0,192,206,87,422,4,9,183,133,0,0,0,0,121,149,587,919,1.57
pomorskie_24.tif,train,0,0,5,38,4,16,2,2,90,12,1,42,0,1,13,9,115,120,1.04
monrovia_34.tif,train,0,0,343,430,94,495,17,23,221,174,0,6,7,7,129,122,811,1257,1.55
pomorskie_18.tif,train,0,0,61,120,21,109,7,43,53,31,2,2,15,23,25,26,184,354,1.92
abancay_37.tif,train,0,0,148,195,333,199,6,26,246,126,1,1,10,31,133,100,877,678,0.77
chicago_27.tif,train,1,0,63,33,41,49,10,40,97,49,0,0,0,1,32,46,244,218,0.89
zanzibar_44.tif,train,0,1,126,193,0,116,0,3,143,45,0,9,6,4,21,17,296,388,1.31
duesseldorf_7.tif,train,0,0,195,94,85,110,12,15,180,77,4,0,7,8,35,30,518,334,0.64
daressalaam_73.tif,train,0,0,212,174,159,286,5,39,335,236,0,0,15,7,75,90,801,832,1.04
koeln_59.tif,train,0,1,543,291,317,327,12,76,252,164,15,14,27,2,134,107,1300,982,0.76
western_15.tif,train,38,35,264,161,26,87,1,5,212,105,26,62,0,6,4,2,571,463,0.81
rio_10.tif,train,0,0,12,19,21,26,4,8,2,2,0,0,0,0,17,10,56,65,1.16
slaskie_14.tif,train,0,0,25,60,8,18,3,14,75,60,2,0,0,5,4,12,117,169,1.44
daressalaam_23.tif,train,0,0,286,73,225,357,20,22,366,240,2,0,0,0,288,112,1187,804,0.68
bielefeld_53.tif,train,0,0,188,128,588,396,8,62,220,91,0,1,0,2,31,50,1035,730,0.71
podkarpackie_14.tif,train,0,0,15,38,10,49,1,11,52,51,1,2,1,8,19,22,99,181,1.83
slaskie_12.tif,train,1,0,22,38,1,11,0,8,44,34,2,0,1,6,1,1,72,98,1.36
wielkopolskie_33.tif,train,0,0,96,65,21,128,2,13,82,33,0,0,3,3,34,32,238,274,1.15
piura_36.tif,train,0,1,123,168,23,76,1,41,141,151,3,5,24,45,2,9,317,496,1.56
rotterdam_25.tif,train,0,0,23,80,70,146,18,64,99,85,7,5,0,6,41,69,258,455,1.76
aachen_10.tif,train,0,0,176,78,41,53,10,21,160,46,1,0,8,6,16,12,412,216,0.52
baybay_26.tif,train,6,12,45,260,106,168,2,9,76,77,9,11,0,2,63,88,307,627,2.04
kagera_24.tif,train,1,0,64,167,12,218,9,17,171,83,0,1,0,14,22,32,279,532,1.91
melbourne_20.tif,train,0,1,111,170,378,284,29,75,112,336,2,15,0,3,80,81,712,965,1.36
tokyo_52.tif,train,5,0,128,278,197,222,5,85,257,91,2,2,27,58,272,87,893,823,0.92
kagera_7.tif,train,22,0,123,311,40,377,6,15,206,154,0,3,12,6,93,115,502,981,1.95
shanghai_60.tif,train,0,0,3,12,6,18,1,21,9,0,3,5,0,2,5,26,27,84,3.11
chicago_25.tif,train,0,0,176,58,151,97,10,29,159,133,10,0,0,0,376,163,882,480,0.54
chiclayo_12.tif,train,0,0,64,141,19,97,2,35,89,102,9,3,9,38,12,9,204,425,2.08
chicago_46.tif,train,3,0,119,87,46,75,12,25,61,49,0,0,0,0,71,59,312,295,0.95
daressalaam_121.tif,train,0,0,192,128,178,273,8,52,380,342,0,0,6,5,201,167,965,967,1.00
pisco_31.tif,train,16,9,76,102,49,77,1,27,111,51,3,34,2,36,6,31,264,367,1.39
melbourne_45.tif,train,0,1,294,162,237,113,16,46,215,235,2,25,0,0,54,70,818,652,0.80
chisinau_29.tif,train,0,0,103,29,73,126,8,38,110,101,0,7,0,0,17,50,311,351,1.13
khartoum_19.tif,train,0,0,3,54,10,51,2,26,40,67,0,3,0,0,30,38,85,239,2.81
daressalaam_38.tif,train,0,0,182,311,189,383,10,61,339,286,86,1,0,0,306,133,1112,1175,1.06
pisco_50.tif,train,0,8,89,56,72,55,1,19,134,28,4,27,0,3,21,23,321,219,0.68
dolnoslaskie_11.tif,train,0,0,47,51,1,68,1,8,35,32,0,0,7,27,14,17,105,203,1.93
baybay_4.tif,train,0,0,191,227,47,120,11,17,87,49,0,5,5,31,45,47,386,496,1.28
koeln_1.tif,train,0,0,831,365,461,403,22,52,522,249,0,1,3,4,247,192,2086,1266,0.61
